timestamp,SSE,SSdU,J,runtime_s,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12
20260201_232106,26119.498671484143,0.0080480102248381685,26199.978773732524,199.3120394,1,0,0,-0.90992802540828444,-0.67037343057889875,1.2737344414403255,3,2.2292128151942023,-1.3867082102043962,-1.3604101725110209,-0.82618849325322019,1.2908665566387769
20260201_111557,32200.861825304666,0.011635123464590124,32317.213059950569,2586.4634635000002,1,10,1,-2.238684693351388,-1.8186803329735994,-2.963548019528389,1.9526752587407827,1.0752253476530313,1.1227410435676575,-0.74156636372208595,-0.90795948542654514,0.25756113789975643
20260201_223337,19343.266652559327,0.014918387915475069,19492.450531714079,473.81912060000002,1,0,0,-2.1931127477813974,-2.152070115203613,-1.7585766179075693,3,3,-3,-0.88659893865231287,-0.62419434530255102,3
20260131_151035,21643.321781391438,0.84128954935450806,30056.21727493652,16716.153976900001,1,4,7,0.54737330786883831,-0.29723366908729076,-1.0201788078993559,-2.7962518259882927,2.6306995823979378,2.6051266975700855,-1.9776150472462177,-2.3883056100457907,1.6654938049614429
20260201_111928,17616.92296147241,0.024269361371418597,17859.616575186596,3870.4382915000001,1,4,3,-2.4329841993749142,-2.3283181451261044,-0.21197777800261974,-0.45376918092370033,-1.0052225477993488,-2.861292527988553,2.1747921500355005,2.2002133950591087,1.2098961900919676
20260201_192807,14438.42987634115,0.030419041915582815,14742.620295496978,719.29174880000005,1,0,0,-3,0.75445351997274068,2.169787457107538,3,3,0.16122502848209469,3,-0.084769265107001016,3
