eval_id,timestamp,phase,phi_vintage,z,SSE_measured,SSdU_measured,phi_SSE,phi_SSdU,SSE,SSdU,J,runtime_s,n_flag_not_one,phi_floored,wall_total_s,wall_cases_s,wall_phi_s,wall_build_s,wall_save_s,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12
21,20260911_151312,OPT,0,0.90565738682790575,39030.75679624331,0.074104960823803662,0.99961508393317466,0.90566632129308,39045.786146672988,0.081823690559674436,39864.023052269731,173.353645,501,0,173.715846,173.499765,0.009103,0.19816300000000001,0.014599000000000001,0.90565738682790575,0,0,0,-3,-3,-1000,-1000,-1000,3,-0.42011019259250099,2.1658760455315273
22,20260911_151622,OPT,0,0.83285005127670531,33297.33448808056,0.1145889574594517,0.99757205991539255,0.8328616437177897,33378.375183146789,0.13758462563834853,34754.221439530273,272.923317,751,0,273.053629,273.03096599999998,0.00027300000000000002,0.021035999999999999,0.0074580000000000002,0.83285005127670531,3,0,0,-1.6825133312797687,-0.40588381899822001,-1000,-1000,-1000,3,0.43717501094555461,3
23,20260911_152114,OPT,0,0.94028637277492955,44379.727574879587,4.1405835976195018,0.99991144896583983,0.94029324849977947,44383.657793677026,4.4035024224897148,88418.682018574182,204.54203800000002,610,0,204.681624,204.66422500000002,0.00078200000000000003,0.015207,0.0076189999999999999,0.94028637277492955,0,0,0,-1.5475645417017228,0.39545018797038867,-1000,-1000,-1000,-3,3,-0.64522030701372246
24,20260911_152459,OPT,0,0.91365593973046777,31907.789336673977,0.042022227732552667,0.99971048155822828,0.91366445783061223,31917.029905438179,0.045993063834757736,32376.960543785757,373.82055300000002,1006,0,373.93188700000002,373.91841699999998,0.00021100000000000001,0.01197,0.0081560000000000001,0.91365593973046777,8,0,0,-3,-3,-1000,-1000,-1000,2.3647001815787685,-0.12531565363168498,0.29177410424865702
25,20260911_153131,OPT,0,0.94108279092798541,41771.014186399814,0.10422104697940304,0.99991518519934752,0.94108961039732075,41774.557287148469,0.11074508296335535,42882.008116782024,1149.5353070000003,924,0,1149.7067359999999,1149.6382590000001,0.0013910000000000001,0.059491000000000002,0.0082979999999999998,0.94108279092798541,14,0,0,-3,3,-1000,-1000,-1000,3,-1.2493886014141593,0.75300643314347737
26,20260911_155107,OPT,1,0.90786893773487343,13460.037793404763,0.97877433427888694,0.99867906092957304,0.9079434326283814,13477.841200431423,1.0780124610246467,24257.965810677888,635.93342600000005,606,0,636.037961,636.033635,0.00012400000000000001,0.0031580000000000002,0.0073159999999999996,0.90786893773487343,9,0,0,-2.3348524729796307,-1.5489718359013602,-1000,-1000,-1000,-2.9392042749840543,1.543448704234446,0.040923484326540749
27,20260911_160159,OPT,1,0.94117507390467969,36062.489315771258,0.2154615218538764,0.9995993398260985,0.94122759520049626,36076.943910392227,0.22891543230623165,38366.098233454541,164.42616400000003,133,0,164.52679599999999,164.52434399999999,4.6999999999999997e-05,0.002,0.0072480000000000001,0.94117507390467969,0,0,0,-0.8648759975480671,3,-1000,-1000,-1000,3,0.28092825789494458,2.1355217400684192
28,20260911_160502,OPT,1,0.86982922485745862,41187.003441127352,4.7634877050711442,0.99668238638298134,0.86992564213116264,41324.100840787796,5.4757412293324847,96081.51313411264,156.69745699999999,318,0,156.79163800000001,156.79003500000002,2.6999999999999999e-05,0.0012279999999999999,0.0074120000000000002,0.86982922485745862,0,0,0,-3,3,-1000,-1000,-1000,3,-1.2929154630265363,0.82818738427791205
29,20260911_160755,OPT,1,1,25701.070192979987,2.1735755572891104,1,1,25701.070192979987,2.1735755572891104,47436.825765871094,197.71432300000001,129,0,197.8227,197.81990999999999,2.6999999999999999e-05,0.0024030000000000002,0.0079920000000000008,1,0,0,0,-0.80746800588061463,3,-1000,-1000,-1000,-2.2576849613516612,0.62052271984318541,2.5041200873718363
30,20260911_161131,OPT,1,0.91802044471663347,14227.038308881327,2.2773941155709707,0.99903178160356576,0.91808855735763839,14240.826539116928,2.4805821805747867,39046.648344864792,841.35898100000009,636,0,841.46292500000004,841.46084400000007,3.1000000000000001e-05,0.0016739999999999999,0.008378,0.91802044471663347,13,0,0,-1.6916598677434551,-0.82052559617052401,-1000,-1000,-1000,-1.1144742721353518,2.5422432546538563,-3
