row_idx,phase,doe_idx,bo_idx,timestamp_py,acq_value,ELL_Z,GAMMA_TIME,WZ,WT,t_floor,SSE,SSdU,J,runtime_s,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12
1,DOE,1,,1769847283,,0.25,1.0,1.0,1.0,65.095193,60428.773128153116,3.278561351380616,93214.38664195928,65.095193,0.21111252487637103,6.0,0.0,2.268097657710314,0.8376464825123549,-2.4139600954949856,-0.29091797210276127,-1.3399689719080925,-2.46131550706923,-0.07938660308718681,0.34805713780224323,2.1295525152236223
2,DOE,2,,1769850171,,0.25,1.0,1.0,1.0,65.095193,30632.91140980394,0.2721598168509541,33354.50957831348,2884.397086,0.9481546490453183,11.0,5.0,-2.964987952262163,-0.4373511169105768,0.5081589538604021,2.9791774079203606,0.0354275107383728,0.3666635435074568,0.8864400330930948,-1.7686922885477543,-1.321222996339202
3,DOE,3,,1769851457,,0.25,1.0,1.0,1.0,65.095193,16577.33887849271,0.13347420374705452,17912.080915963255,1284.67762,0.6615818235278129,2.0,3.0,1.2743445374071598,-1.959895497187972,1.5081228017807007,-2.1330309603363276,2.1647544968873262,1.8608365673571825,2.579725870862603,-0.19163496047258377,-2.7580849081277847
4,DOE,4,,1769855599,,0.25,1.0,1.0,1.0,65.095193,20806.33477155363,14.117218730664938,161978.522078203,4139.159946,0.43895060728304086,14.0,6.0,-0.939972672611475,2.3096087146550417,-1.1960605848580599,0.9484364613890648,-2.3659150656312704,-0.979029631242156,-1.702162977308035,1.8166159819811583,0.5433223620057106
5,DOE,5,,1769856485,,0.25,1.0,1.0,1.0,65.095193,57269.10755638938,7.165585601499186,128924.96357138125,884.423372,0.2871745657082647,1.0,4.0,-0.3824869114905596,1.7875391095876694,-1.6042498759925365,-2.4487845059484243,2.3424668423831463,2.911216389387846,0.2762428242713213,-1.2860578447580338,1.0851332992315292
6,DOE,6,,1769858561,,0.25,1.0,1.0,1.0,65.095193,17369.341439645596,1.4356552397579188,31725.893837224783,2071.118092,0.5097533823177218,11.0,1.0,0.3301367964595556,-2.937097080051899,1.2921971250325441,0.634125541895628,-2.1415108256042004,-0.6231931708753109,-1.0656831599771976,2.7055943068116903,-1.8002642020583153
7,DOE,7,,1769868123,,0.25,1.0,1.0,1.0,65.095193,25789.287375630403,2.924756231807402,55036.849693704426,9560.250439,0.8600598016567528,5.0,7.0,-1.6592416036874056,-1.4156505949795246,2.316372647881508,-1.478094046935439,-0.1524412203580141,-2.117370083928108,-2.4077624268829823,1.1290005091577768,-0.029049603268504143
8,DOE,8,,1769868634,,0.25,1.0,1.0,1.0,65.095193,21123.091283507805,0.5777232743332996,26900.3240268408,506.443354,0.12322019499726593,8.0,2.0,2.0756293293088675,0.3152114041149616,-0.41055882163345814,1.7905586175620556,1.4575133677572012,1.4289102628827095,1.5009596217423677,-2.7543477080762386,2.3377474788576365
9,DOE,9,,1769868745,,0.25,1.0,1.0,1.0,65.095193,16017.369050054724,0.030644567017080324,16323.814720225528,109.20778899999999,0.02396153301931918,4.0,7.0,0.5473733078688383,-0.29723366908729076,-1.0201788078993559,-2.7962518259882927,2.6306995823979378,2.6051266975700855,-1.9776150472462177,-2.3883056100457907,1.665493804961443
10,DOE,10,,1769939933,,0.25,1.0,1.0,1.0,65.095193,25414.21388188633,8.794960932511412,113363.82320700045,1382.833549,0.7720015617273748,14.0,2.0,-0.21377321518957615,1.4467887673527002,2.082229781895876,0.09920329414308071,-1.700752079486847,-0.22322821989655495,2.691055493429303,0.756755892187357,-0.8800510503351688
11,DOE,11,,1769940955,,0.25,1.0,1.0,1.0,65.095193,44464.276467196985,15.872400199151109,203188.27845870808,1015.9693090000001,0.6282723253965378,7.0,4.0,1.5410469453781843,2.9191166516393423,0.3077352326363325,-0.7534323558211327,-0.499390734359622,-1.7174845710396767,1.337650241330266,2.3219800740480423,-2.4490707088261843
12,DOE,12,,1769941167,,0.25,1.0,1.0,1.0,65.095193,19195.38887591698,0.024436466979887016,19439.75354571585,207.037174,0.35597250978462397,10.0,1.0,-2.238684693351388,-1.8186803329735994,-2.963548019528389,1.9526752587407827,1.0752253476530313,1.1227410435676575,-0.741566363722086,-0.9079594854265451,0.25756113789975643
13,DOE,13,,1769941709,,0.25,1.0,1.0,1.0,65.095193,14805.29197342248,0.03346119454923676,15139.903918914848,539.137245,0.44387104294262825,4.0,3.0,-2.432984199374914,-2.3283181451261044,-0.21197777800261974,-0.45376918092370033,-1.0052225477993488,-2.861292527988553,2.1747921500355005,2.2002133950591087,1.2098961900919676
14,DOE,14,,1769943350,,0.25,1.0,1.0,1.0,65.095193,13144.094721828122,23.667936138260835,249823.45610443648,1639.986026,0.7163611022755504,9.0,6.0,2.8486244939267635,1.9280256293714046,2.86778000369668,2.2537797186523676,0.4289516396820545,0.6727411653846502,-2.8707115910947323,-0.5697622764855623,-1.9010388348251581
15,DOE,15,,1769943742,,0.25,1.0,1.0,1.0,65.095193,15682.63623975226,12.942870207046703,145111.3383102193,387.226128,0.923822870273143,1.0,1.0,-1.1561500243842602,0.4560632184147835,1.1174027156084776,-1.5988447107374668,1.865052742883563,2.1670178566128016,-1.1653657369315624,-2.134706122800708,-0.6780891828238964
16,DOE,16,,1769944023,,0.25,1.0,1.0,1.0,65.095193,13141.80144962506,0.19060770777475372,15047.878527372597,276.91751,0.17574460399337113,13.0,4.0,1.1030281595885754,-0.8057735860347748,-2.1794667541980743,1.2951692137867212,-2.7947070244699717,-1.3789030741900206,0.5399502161890268,0.7203192673623562,2.963165011256933
17,DOE,17,,1769944064,,0.25,1.0,1.0,1.0,39.713125000000005,21702.31848038034,13.455685513956029,156259.17361994064,39.713125000000005,0.13761762545444073,0.0,2.0,-1.8499885238707066,2.4906925689429045,2.7217787727713585,2.7365528661757708,1.5180380120873451,-0.03985319472849369,-0.7789018638432026,0.46066688373684883,0.8966550584882498
18,DOE,18,,1769953645,,0.25,1.0,1.0,1.0,39.713125000000005,31034.440215435257,3.257667812208606,63611.118337521315,2075.6956090000003,0.9055980462394655,12.0,7.0,1.890650276094675,-2.14026197232306,-0.1744565460830927,-0.1808517538011074,-2.8223861753940582,2.415858132764697,0.1767867375165224,-2.0164338257163763,-1.6116022188216448
19,DOE,19,,1769954217,,0.25,1.0,1.0,1.0,39.713125000000005,41749.64221833653,0.43697934896610385,46119.43570799757,569.269669,0.7427772565186024,4.0,2.0,-0.5731544382870197,-0.6188154425472021,-1.9342624135315418,0.8358361143618822,-0.883842034265399,0.933300482109189,1.7880070824176073,-0.4998012576252222,-0.21534257009625435
20,DOE,20,,1769955163,,0.25,1.0,1.0,1.0,39.713125000000005,16703.195916553617,10.077344735227658,117476.6432688302,942.749191,0.48920744861476123,9.0,4.0,0.14505403116345406,1.0183648187667131,0.7932012621313334,-1.8951964639127254,0.6821677330881357,-1.5339603926986456,-2.5071354545652866,1.898097664117813,2.5242227353155613
21,OPT,,1,1769955472,5.728996210147543,0.25,1.0,1.0,1.0,39.713125000000005,39568.5638054368,0.06000797004115548,40168.643505848355,257.055118,0.817165378280872,0.0,1.0,-3.0,-1.458611531601492,2.5672352237276885,3.0,1.423173818343251,-0.5623951844047376,3.0,-0.7004879979285472,0.833153325111063
22,OPT,,2,1769955644,5.192256895723208,0.25,1.0,1.0,1.0,39.713125000000005,21287.635412607146,0.050586223169996614,21793.49764430711,147.599178,0.8427964277431613,0.0,0.0,-3.0,-2.289663459560844,1.6160783717699958,3.0,2.769584705240014,-1.1446440647882592,-1.1749228761586301,-0.7925746936110295,1.2978299914989275
23,OPT,,3,1769955899,5.700217640757397,0.25,1.0,1.0,1.0,39.713125000000005,47489.171042870934,8.987513444170142,137364.30548457237,232.640397,0.8666199424880663,0.0,0.0,-3.0,-2.3163123908441268,0.4270193935276475,3.0,3.0,-2.7664976045680802,0.22386522260538627,-0.9403842255685627,-2.16982256085983
24,OPT,,4,1769956210,6.551045012325821,0.25,1.0,1.0,1.0,39.713125000000005,29075.903821402975,0.31698722080639286,32245.776029466902,287.706028,0.8467472597129725,2.0,0.0,-1.9235991046621859,-2.5714467826633647,3.0,3.0,1.9707142648316465,0.1463755072179231,-2.991649822517223,-0.8475480309522834,3.0
25,OPT,,5,1769956650,5.953861727758194,0.25,1.0,1.0,1.0,39.713125000000005,12804.845941872427,0.6917910302263247,19722.756244135675,418.294734,0.8215975434091819,7.0,0.0,-3.0,-1.777928001942591,1.0420138999369022,2.1495359757770016,2.67824064517342,-1.0859728484581792,-0.9638098621549599,-0.7586497982748722,2.089436698902567
