timestamp,SSE,SSdU,J,runtime_s,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12
20260129_161649,13501.916225809178,0.075274783901810138,14254.664064827281,115.01984299999999,0.11811666395515202,9,3,-0.49869739450514317,-1.3913299664855003,1.6261509787291288,1.6457056012004614,-1.9126370809972286,1.22435805760324,2.8075769003480673,1.6342469081282616,-2.5964244436472654
20260129_161847,44274.716997415097,25.89370167477583,303211.73374517338,1525.9267609999999,0.61163466854020954,6,6,1.060387272387743,1.58449019305408,-1.907270573079586,-0.43960762582719326,2.4332389533519745,-0.50701261684298515,-0.96801049634814262,-1.1176812574267387,0.91870353743433952
20260129_164419,37016.445619820101,11.763095779561358,154647.40341543368,1708.508012,0.92035728422924878,11,2,-2.3785005547106266,1.0062277503311634,-0.063194006681442261,0.68576962687075138,0.62759166397154331,-2.1788770314306021,-2.0716291610151529,-2.7781260777264833,2.3406763225793839
20260129_171251,23817.62904002237,1.7511888582147421,41329.517622169791,481.24188200000003,0.42379219364374876,0,4,2.1799431424587965,-1.9256642516702414,0.53207141719758511,-1.7274744752794504,-1.0441206190735102,2.9395331740379333,0.16157250478863716,0.66822671703994274,-0.98833353258669376
20260129_172059,18569.887065711333,1.4634210250080788,33204.097315792125,1429.425309,0.32186603968031707,14,7,2.5520081240683794,-2.7316405400633812,2.4957014936953783,1.2689976040273905,1.3606354538351297,-2.556884927675128,-0.19772572629153728,-1.6226896271109581,-0.74023602157831192
20260129_174452,59211.544368405652,0.39127187847554756,63124.263153161126,670.97942,0.81732093880884349,3,2,-1.9830210283398628,0.28812779299914837,-2.9643100239336491,-2.3161096964031458,-0.28781099058687687,1.7933976128697395,2.0369377210736275,1.106530599296093,2.0244170408695936
20260129_175609,28800.586685382383,6.3907211753535966,92707.79843891834,1630.7071080000001,0.62956833953969182,10,5,0.67659205198287964,2.3729970641434193,-1.0701082907617092,2.5621743556112051,-2.6557752750813961,0.13644967786967754,0.93221204169094563,2.7669779341667891,0.43476837314665318
20260129_182326,12432.933070787165,0.95545375735752458,21987.470644362409,39.554746000000002,0.13498546947725118,6,0,-0.85907784663140774,-0.70245248638093472,1.3514968547970057,-1.3512298967689276,1.6664687097072601,-0.85096396878361702,-2.8419135734438896,-0.65667264349758625,-2.1439382247626781
20260130_092253,20555.661385094812,14.921040194414479,169766.06332923958,525.18139900000006,0.25435885244980455,13,5,-1.7994247265160084,2.1270169783383608,0.12179861404001713,1.0797419920563698,1.0108276270329952,-2.6599519047886133,0.41054039821028709,-0.03017539344727993,-2.8862104844301939
20260130_093140,17022.083016234545,4.8625673687434663,65647.756703669205,370.53447199999999,0.74996090427041051,2,1,2.7363164853304625,-0.79755081608891487,-0.40317576751112938,-2.8805605508387089,-0.68943905085325241,1.895637933164835,-1.8518635053187609,2.5140160415321589,1.19094542786479
