controller_id,is_benchmark,SSE_total,SSdU_total,wall_time_s,source,timestamp,m,p,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,J_total,SSE_c1,SSdU_c1,J_c1,settle_case_h_c1,IAE_case_c1,settle_x1_h_c1,IAE_x1_c1,settle_x2_h_c1,IAE_x2_c1,settle_x3_h_c1,IAE_x3_c1,SSE_c2,SSdU_c2,J_c2,settle_case_h_c2,IAE_case_c2,settle_x1_h_c2,IAE_x1_c2,settle_x2_h_c2,IAE_x2_c2,settle_x3_h_c2,IAE_x3_c2
benchmark_ref,1,14210.7348802098,5.23687974535433,40958.54474,benchmark,,6,61,1,55,5,1,0,0,0.301029995663981,0.301029995663981,0,1,1,1,66579.5323337531,6810.56487716487,2.95392880706197,36349.8529477846,21.25,34.2984248403265,0,0.391656781418302,21.25,30.6906897113677,NaN,3.21607834754049,7400.17000304494,2.28295093829235,30229.6793859685,21.3666666666667,37.0985828840298,0,0.339651706546679,21.3666666666667,32.2131224135731,NaN,4.54580876391005
ts_20260210_154010_modified,0,24146.7898237671,0.0716917058525444,569.886898,run2,20260210_154010,1,3,1,2,0,0,-0.489090548895922,0.348454715560651,-1000,-1000,-1000,2.97343500754218,3,0.841843935260034,24863.7068822926,11560.2408360281,0.0194188183042101,11754.4290190702,25.8666666666667,62.5484564526814,11.9,0.458218378125824,25.8666666666667,45.5833602321723,NaN,16.5068778423832,12586.548987739,0.0522728875483344,13109.2778632224,23.0166666666667,69.2945505566891,21.5666666666667,0.418857681883775,23.0166666666667,37.3931043932876,NaN,31.4825884815177
ts_20260201_192807_modified,0,19456.7245426052,0.540844569278434,498.189252,run1,20260201_192807,1,1,1,0,0,-3,0.754453519972741,2.16978745710754,3,3,0.161225028482095,3,-0.084769265107001,3,24865.1702353896,9296.02602104377,0.174570564150571,11041.7316625495,22.5,50.1022329244039,21.3166666666667,0.573525753513673,22.5,35.3129812525122,NaN,14.215725918378,10160.6985215615,0.366274005127863,13823.4385728401,21.5666666666667,51.3489169647045,21.5666666666667,0.583371504840244,21.3166666666667,33.4621667657246,NaN,17.3033786941396
ts_20260210_171107_modified,0,16415.136313539,1.15636516840803,1312.512314,run2,20260210_171107,1,16,1,15,0,0,-3,-0.656686989065661,-1000,-1000,-1000,-2.1940834054562,-3,0.722339039990168,27978.7879976193,8825.36720629649,0.431558869622067,13140.9559025172,21.5333333333333,41.471285013575,0.7,0.378565019036627,21.5333333333333,39.4299490471388,NaN,1.66277094739955,7589.76910724254,0.724806298785961,14837.8320951021,21.4333333333333,36.4548096402076,0,0.354171319223693,21.4333333333333,32.6472741385097,NaN,3.45336418247422
ts_20260201_232106_modified,0,25298.1324707426,0.329152748143,430.755306,run1,20260201_232106,1,1,1,0,0,-0.909928025408284,-0.670373430578899,1.27373444144033,3,2.2292128151942,-1.3867082102044,-1.36041017251102,-0.82618849325322,1.29086655663878,28589.6599521726,14161.9556990113,0.0174475808855077,14336.4315078664,0,77.6986124614284,0,0.271531792222794,NaN,72.8845473805559,NaN,4.54253328864974,11136.1767717313,0.311705167257492,14253.2284443062,24.35,72.0061663844769,0,0.141012478259317,24.35,40.5615252935145,NaN,31.3036286127031
ts_20260210_180826_modified,0,14565.0329602728,1.56181941336641,1595.664263,run2,20260210_180826,1,13,1,12,0,0,-2.71562059215634,-1.07849092342504,-1000,-1000,-1000,-1.18403864622082,-0.784869220881345,0.807814348607413,30183.2270939369,6943.65730401026,0.596425637087945,12907.9136748897,21.35,34.5721111482823,0,0.370810371859839,21.35,31.6356026039761,NaN,2.56569817244635,7621.37565626256,0.965393776278467,17275.3134190472,21.4333333333333,37.0696375774041,11.95,0.420040854135876,21.4333333333333,32.6773071813435,NaN,3.97228954192471
ts_20260210_151703_modified,0,14785.7261944915,1.55993935718706,1843.84414,run2,20260210_151703,1,16,1,15,0,0,-2.39019732065384,-1.4387339006712,-1000,-1000,-1000,-2.2856190361396,0.266906905106665,0.402275241082261,30385.1197663621,6897.89510192767,0.645587680037374,13353.7719023014,21.2333333333333,35.9782511620409,0,0.21558751161073,21.2333333333333,30.291160448789,NaN,5.47150320164116,7887.83109256387,0.914351677149682,17031.3478640607,21.45,40.8502077128567,0,0.255039517213925,21.45,32.9561973767684,NaN,7.6389708188744
ts_20260202_000115_modified,0,30464.1291855315,0.0452218662275947,466.199618,run1,20260202_000115,1,1,1,0,0,0.857758436622679,-1.90769278731329,-2.5768148461171,3,2.63149759317945,-3,0.0931816980799405,-0.571499714819171,3,30916.3478478074,14646.1337509763,0.0208226876283381,14854.3606272597,12.7666666666667,76.6897599165589,12.7666666666667,0.713203714623533,NaN,57.7176679776595,NaN,18.2588882242759,15817.9954345551,0.0243991785992565,16061.9872205477,25.85,98.2967821853683,22.45,0.795521624257636,25.85,46.7084085482377,NaN,50.7928520128729
ts_20260211_134235_modified,0,23152.1207742927,1.2872004725341,1039.753565,run2,20260211_134235,1,10,1,9,0,0,-1.64785568646097,-1.31211668486801,-1000,-1000,-1000,1.77032688548655,0.0872911272588414,-0.163996732531297,36024.1254996336,11159.3570239331,0.428940014558484,15448.7571695179,22.3833333333333,55.6524142066625,11.15,0.295437467669001,22.3833333333333,35.8722312169743,NaN,19.4847455220192,11992.7637503596,0.858260457975611,20575.3683301157,21.3166666666667,58.9538123592674,11.4666666666667,0.261142471501347,21.3166666666667,34.3842382893618,NaN,24.3084315984043
ts_20260201_223337,0,38317.7249971144,0.178307075261516,419.695078,run1,20260201_223337,1,1,1,0,0,-2.1931127477814,-2.15207011520361,-1.75857661790757,3,3,-3,-0.886598938652313,-0.624194345302551,3,40100.7957497295,20100.0206058536,0.0835139394302894,20935.1600001565,24.1833333333333,77.6924553693756,11.85,0.45357731618077,24.1833333333333,40.7916674965652,NaN,36.4472105566296,18217.7043912607,0.094793135831227,19165.635749573,22.5166666666667,85.5346827379073,21.6,0.485747495477786,22.5166666666667,37.7259549845249,NaN,47.3229802579046
ts_20260211_122653_modified,0,14490.9659118241,4.772378614216,2466.02493,run2,20260211_122653,1,15,1,14,0,0,-2.63974445524247,-1.34378334421827,-1000,-1000,-1000,-1.71358382251717,-0.82553336888426,-2.64855169373555,62214.7520539841,6823.78224428415,1.83502783423681,25174.0605866522,21.2833333333333,34.3033209133302,0,0.0709553716583648,21.2833333333333,30.687744530867,NaN,3.54462101080485,7667.18366753996,2.93735077997919,37040.6914673319,21.45,38.0348685207584,0,0.0919317704987664,21.45,32.8299411065113,NaN,5.11299564374835
