row_idx,phase,doe_idx,bo_idx,timestamp_py,acq_value,ELL_Z,GAMMA_TIME,WZ,WT,t_floor,SSE,SSdU,J,runtime_s,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12
1,DOE,1,,1770653169,,0.25,1.0,1.0,1.0,108.86339600000001,59173.47872047953,8.235138463543812,141524.86335591765,108.86339600000001,0.21111252487637103,6.0,0.0,0.0,2.268097657710314,0.8376464825123549,-1000.0,-1000.0,-1000.0,-2.4139600954949856,-0.29091797210276127,-1.3399689719080925
2,DOE,2,,1770654270,,0.25,1.0,1.0,1.0,108.86339600000001,17773.69743355219,0.05588004160624258,18332.497849614618,1096.307816,0.5375134334154427,15.0,5.0,0.0,-2.8390443082898855,-0.39075302705168724,-1000.0,-1000.0,-1000.0,2.1046058647334576,0.8289903346449137,0.6246554218232632
3,DOE,3,,1770656436,,0.25,1.0,1.0,1.0,108.86339600000001,83310.30532631752,25.304943641513198,336359.7417414495,2161.333276,0.9914043142925948,0.0,3.0,0.0,0.22668659314513206,-2.0800282638520002,-1000.0,-1000.0,-1000.0,1.138597073033452,-2.932539291679859,2.1440756376832724
4,DOE,4,,1770658541,,0.25,1.0,1.0,1.0,108.86339600000001,14455.61870567112,2.631799143085307,40773.61013652419,2097.61107,0.2640197014436126,9.0,7.0,0.0,-0.38161694817245007,2.5237603336572647,-1000.0,-1000.0,-1000.0,-0.36635292135179043,1.9255797676742077,-2.8346478547900915
5,DOE,5,,1770660478,,0.25,1.0,1.0,1.0,108.86339600000001,16613.716055624776,3.270772783140943,49321.44388703421,1933.673538,0.4092254804261029,2.0,4.0,0.0,-1.0265729874372482,2.138927612453699,-1000.0,-1000.0,-1000.0,-2.2227306123822927,-2.113101527094841,2.7306373715400696
6,DOE,6,,1770667726,,0.25,1.0,1.0,1.0,108.86339600000001,48442.91591004578,8.64944590393779,134937.37494942368,7245.516288,0.8581607620511204,11.0,2.0,0.0,1.1755978669971228,-2.445149989798665,-1000.0,-1000.0,-1000.0,2.294235857203603,2.74510769918561,-2.040089752525091
7,DOE,7,,1770677345,,0.25,1.0,1.0,1.0,108.86339600000001,12520.75317508584,1.6066765682652027,28587.518857737865,9611.356522,0.686700105778873,4.0,6.0,0.0,-1.5620051845908165,-0.7559433728456497,-1000.0,-1000.0,-1000.0,0.20473508164286613,-1.0164226312190294,-0.5352949965745211
8,DOE,8,,1770677873,,0.25,1.0,1.0,1.0,108.86339600000001,23715.00192379282,11.478295781773788,138497.9597415307,521.531842,0.08186414609663188,13.0,3.0,0.0,2.1387637685984373,0.4527909178286791,-1000.0,-1000.0,-1000.0,-1.3016316555440426,0.10339550860226154,1.2506299037486315
9,DOE,9,,1770678314,,0.25,1.0,1.0,1.0,108.86339600000001,21149.182605992468,3.7727068870175917,58876.251476168385,435.33397,0.062100245049223304,1.0,6.0,0.0,0.7906816340982914,-0.030433187261223793,-1000.0,-1000.0,-1000.0,-0.5194239355623722,-1.5201331749558449,2.3845068141818047
10,DOE,10,,1770691893,,0.25,1.0,1.0,1.0,108.86339600000001,15606.425709552072,2.0082253813958784,35688.67952351086,13573.930078000001,0.6947567009180784,8.0,3.0,0.0,-1.3205658998340368,1.1804053746163845,-1000.0,-1000.0,-1000.0,0.9635437913239002,2.6232351176440716,-1.6457303948700428
11,DOE,11,,1770714518,,0.25,1.0,1.0,1.0,108.86339600000001,27643.31498493213,27.634140508743222,303984.7200723644,1286.115563,0.7708566225040704,7.0,4.0,0.0,1.7070876471698284,2.8665420804172754,-1000.0,-1000.0,-1000.0,1.5061437282711267,-1.1643075440078974,-0.18549821712076664
12,DOE,12,,1770714804,,0.25,1.0,1.0,1.0,108.86339600000001,16214.39064322927,3.367316749041969,49887.55813364896,281.63354300000003,0.477299425881356,14.0,1.0,0.0,-1.9029868673533201,-1.71963981539011,-1000.0,-1000.0,-1000.0,-2.9873722326010466,0.717226529493928,0.8526125494390726
13,DOE,13,,1770715005,,0.25,1.0,1.0,1.0,108.86339600000001,20901.762813051802,0.4643312644159417,25545.07545721122,198.022244,0.37451616741716864,5.0,2.0,0.0,-2.5009563267230988,-2.852413807064295,-1000.0,-1000.0,-1000.0,-1.0782832335680723,-0.5297949034720659,-0.9390517920255661
14,DOE,14,,1770717468,,0.25,1.0,1.0,1.0,108.86339600000001,18570.147839347785,26.756655270744588,286136.70054679364,2458.321027,0.8846390800084919,12.0,6.0,0.0,2.7027623411267996,1.7492705192416906,-1000.0,-1000.0,-1000.0,0.40326238609850407,1.3518292475491762,0.27192198112607
15,DOE,15,,1770717745,,0.25,1.0,1.0,1.0,108.86339600000001,18811.064990363575,1.3210333247836326,32021.3982381999,271.769542,0.5959694494120776,3.0,1.0,0.0,-0.09051907807588577,0.06315665692090988,-1000.0,-1000.0,-1000.0,2.8223762400448322,-2.4357127100229263,1.7409660201519728
16,DOE,16,,1770717896,,0.25,1.0,1.0,1.0,108.86339600000001,27614.29014647889,8.885378657590698,116468.07672238587,147.77451200000002,0.17986277719028296,9.0,5.0,0.0,0.6145900469273329,-1.163138559088111,-1000.0,-1000.0,-1000.0,-1.6727452911436558,1.7075655050575733,-2.4797123204916716
